epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
5,0.4502,0.5947,0.7413,0.7274,0.6366,0.7546,0.8028,0.685,0.8053,0.821,0.7521,0.8607,0.8564,0.2857,0.5282,0.3835,0.5128,0.6995,0.6577,0.6962,0.7996,0.8432
10,0.3751,0.6542,0.7874,0.776,0.6799,0.791,0.8288,0.7369,0.8438,0.8533,0.8131,0.8979,0.896,0.3698,0.5948,0.4944,0.5896,0.7617,0.7229,0.7358,0.835,0.8609
15,0.3413,0.6805,0.8065,0.7971,0.701,0.8088,0.8402,0.759,0.8607,0.8653,0.838,0.9103,0.9134,0.4073,0.6297,0.5355,0.6261,0.7863,0.7545,0.7514,0.843,0.8737
20,0.3141,0.7014,0.8217,0.8123,0.7176,0.822,0.8497,0.7769,0.8739,0.875,0.8595,0.9221,0.9269,0.4341,0.6522,0.5648,0.6538,0.803,0.7787,0.7668,0.8572,0.8791
25,0.3017,0.7117,0.8285,0.8206,0.7256,0.8281,0.8543,0.7842,0.8789,0.8792,0.8656,0.9251,0.9308,0.4516,0.6643,0.5852,0.6647,0.8116,0.786,0.7784,0.8628,0.8884
30,0.2855,0.7263,0.8389,0.8315,0.7377,0.8382,0.8602,0.7973,0.8882,0.8862,0.8773,0.9306,0.9387,0.4802,0.687,0.6147,0.6789,0.8194,0.7983,0.7863,0.87,0.891
35,0.2731,0.7367,0.8458,0.8397,0.745,0.8437,0.8643,0.8049,0.893,0.8909,0.8862,0.9363,0.9431,0.5037,0.7028,0.64,0.6899,0.8267,0.8066,0.7903,0.8725,0.8935
40,0.2656,0.7431,0.8509,0.8439,0.7505,0.8483,0.8667,0.8101,0.8961,0.8941,0.8896,0.9377,0.9455,0.5174,0.7163,0.6508,0.6942,0.8281,0.8111,0.7966,0.8786,0.8951
45,0.2574,0.7501,0.8554,0.8493,0.757,0.8527,0.871,0.815,0.8995,0.8967,0.8931,0.9403,0.9468,0.5317,0.7257,0.6655,0.7028,0.8335,0.8176,0.8011,0.881,0.8983
50,0.2484,0.7586,0.8613,0.8555,0.764,0.8585,0.8741,0.821,0.903,0.9004,0.8997,0.9434,0.951,0.5542,0.7404,0.6879,0.7092,0.8378,0.8221,0.8036,0.8845,0.8978
55,0.2446,0.7617,0.8634,0.8575,0.7659,0.86,0.8749,0.8246,0.905,0.9027,0.904,0.9459,0.9533,0.5574,0.7436,0.69,0.7133,0.84,0.8255,0.8052,0.8856,0.8987
60,0.239,0.7668,0.8666,0.8614,0.77,0.8627,0.8776,0.8286,0.9078,0.9047,0.9065,0.9474,0.9546,0.5711,0.7519,0.7036,0.7169,0.8426,0.8277,0.8076,0.8869,0.9003
65,0.2295,0.7751,0.8721,0.8673,0.7774,0.8677,0.882,0.8331,0.9107,0.9073,0.9129,0.9506,0.9583,0.5896,0.7656,0.7194,0.7235,0.8471,0.8322,0.8143,0.891,0.9044
70,0.2264,0.7782,0.8741,0.8695,0.7781,0.8678,0.8828,0.8368,0.9134,0.9089,0.9133,0.951,0.9584,0.5967,0.7693,0.7267,0.7274,0.8497,0.8348,0.8168,0.8932,0.9052
75,0.2181,0.7845,0.8785,0.8735,0.785,0.8735,0.8858,0.8438,0.9174,0.9132,0.9186,0.9534,0.9618,0.6098,0.7817,0.7349,0.733,0.8516,0.8403,0.8166,0.8934,0.9048
80,0.2138,0.7887,0.8816,0.8762,0.7883,0.8753,0.8881,0.8457,0.9181,0.9148,0.9213,0.9549,0.9632,0.6234,0.7925,0.745,0.7345,0.8538,0.8402,0.8192,0.8952,0.9061
85,0.2104,0.7937,0.8842,0.8801,0.7914,0.8771,0.8901,0.8491,0.9204,0.9164,0.9217,0.9561,0.9625,0.6319,0.7962,0.7539,0.7418,0.8577,0.8459,0.8261,0.8979,0.9118
90,0.2013,0.7996,0.888,0.884,0.7986,0.8833,0.8928,0.8548,0.9238,0.9196,0.9275,0.958,0.9668,0.6451,0.8052,0.7644,0.7449,0.8587,0.849,0.8269,0.899,0.9116
95,0.1963,0.806,0.8918,0.8886,0.8025,0.8846,0.8964,0.8585,0.9266,0.9211,0.9311,0.9603,0.9683,0.6632,0.8151,0.7807,0.7521,0.8647,0.8524,0.8286,0.8997,0.9129
100,0.1949,0.8061,0.8917,0.889,0.8046,0.8877,0.8958,0.8589,0.9256,0.9225,0.9286,0.9593,0.9667,0.6629,0.8141,0.7812,0.7542,0.8649,0.8549,0.8275,0.8983,0.913
105,0.1864,0.815,0.8978,0.8945,0.8106,0.8916,0.8992,0.8647,0.9289,0.926,0.9348,0.9625,0.9701,0.6872,0.8338,0.7962,0.7611,0.8686,0.8602,0.8318,0.9013,0.9152
110,0.1828,0.8175,0.8989,0.8963,0.8147,0.8937,0.9021,0.8678,0.9309,0.9276,0.9365,0.9637,0.9707,0.6886,0.832,0.7998,0.7621,0.8701,0.86,0.8353,0.903,0.9176
115,0.1778,0.8229,0.9027,0.8994,0.8196,0.8976,0.9042,0.8708,0.9318,0.93,0.9376,0.9642,0.9714,0.7023,0.8439,0.8072,0.7686,0.8734,0.8649,0.8384,0.9053,0.9189
120,0.1674,0.8327,0.9086,0.9057,0.8291,0.9024,0.9107,0.8791,0.9374,0.934,0.9442,0.9676,0.975,0.7227,0.8559,0.8228,0.778,0.8802,0.8701,0.8429,0.9079,0.9218
125,0.1611,0.8372,0.9111,0.9088,0.8343,0.9064,0.9129,0.8825,0.9393,0.9359,0.9468,0.9691,0.9762,0.7334,0.8609,0.832,0.7836,0.8826,0.8747,0.8428,0.9085,0.921
130,0.1562,0.8433,0.9147,0.9127,0.8387,0.9095,0.915,0.8865,0.9414,0.9383,0.9483,0.9699,0.977,0.7489,0.8702,0.8431,0.7896,0.886,0.8788,0.8475,0.9113,0.9237
135,0.1499,0.8485,0.9179,0.9159,0.8452,0.9135,0.9187,0.8903,0.9431,0.9408,0.9515,0.9718,0.9786,0.758,0.8768,0.8484,0.7955,0.89,0.8823,0.8506,0.9123,0.9264
140,0.1426,0.8559,0.9224,0.9203,0.8518,0.9175,0.9225,0.8963,0.9466,0.9441,0.954,0.9733,0.9797,0.7773,0.8889,0.8609,0.8026,0.8936,0.8874,0.8536,0.9145,0.9276
145,0.1361,0.8616,0.9255,0.924,0.8589,0.9222,0.926,0.9005,0.9489,0.9464,0.9571,0.9752,0.981,0.7865,0.8923,0.8691,0.8104,0.8977,0.8928,0.8561,0.9166,0.9285
150,0.1312,0.8669,0.9288,0.927,0.8635,0.925,0.9285,0.9038,0.9505,0.9484,0.9589,0.9759,0.9821,0.8002,0.9008,0.8776,0.8151,0.9011,0.8953,0.86,0.9195,0.93
